date,url,username,content,subject
2022-10-17 06:42:15+00:00,https://twitter.com/pauloeneas/status/1581898364630638593,pauloeneas,"[1/3] Informação objetiva que Bolsonaro tem que ter na ponta da língua para os debates: a primeira pessoa do mundo a ser vacinada contra Covid-19 foi Margaret Keenan na Inglaterra em 08/12/2020. A primeira pessoa vacinada no Brasil foi a enfermeira Monica Kalazans, em 17/01/2021.",covid-19
2022-10-17 02:23:30+00:00,https://twitter.com/Viniciu98406031/status/1581833248711536641,Viniciu98406031,"@Paulo_O_Braga @Tiagoaraujo1986 @GloboNews @mervalpereira @NatuzaNery Birucreuzo perdeu pra covid-19, pro sigilo centenário e pro BOLSOLÃO ❗👎",covid-19
2022-10-17 01:30:21+00:00,https://twitter.com/P_Carrano/status/1581819874526969856,P_Carrano,Para vocês qual foi a maior canalhice de Bolsonaro no #DebateNaBand ? Para mim foi Bolsonaro dizer para Lula: “fez discurso no caixão da mulher e agora vem falar da morte da sogra”. Isso quando o debate era a gravidade das mortes na COVID-19.,covid-19
2022-10-17 00:39:59+00:00,https://twitter.com/folha/status/1581807197507489792,folha,Bolsonaro diz que Lula mente e petista diz que presidente é rei das fake news. Rivais trocaram acusações enquanto falavam sobre a condução da pandemia de Covid-19 pelo governo Bolsonaro. Siga cobertura em https://t.co/OUrEFevL3e #Eleições2022 #DebatenaBand https://t.co/Dq1Q3axExv,covid-19
2022-10-17 00:08:53+00:00,https://twitter.com/EconomiaFcil/status/1581799371695218688,EconomiaFcil,"Pesquisa de dados:
Paulo Lindesay - Diretor da Assibge-SN e coordenador da Auditoria Cidadã Núcleo RJ.
Monitoramento dos Gastos da União com Combate à COVID-19
https://t.co/ID4P5yUOng",covid-19
2022-10-16 23:49:09+00:00,https://twitter.com/lobinhoeducacao/status/1581794407074131969,lobinhoeducacao,Todo mundo viu o energúmeno imitar as pessoas sufocadas com falta de ar por causa da Covid-19 e agora ele quer dizer que se importava com a pandemia e as pessoas. O @LulaOficial jogou isso na cara do bozonoide e o chamou de mentiroso. #VoteLula13 https://t.co/XNJMwe4aB1,covid-19
2022-10-16 23:48:48+00:00,https://twitter.com/dougnate/status/1581794319534796801,dougnate,"- 22/01/2021 a Anvisa liberava, por unanimidade, doses envasadas aqui da ""vaChina"" que zoavam

- Só em 23/02/2021 veio o registro da Pfizer, portanto a iniciativa do Governo de S. Paulo foi mais expressiva pra vacinação na pandemia de covid-19 que qualquer uma do Governo Federal.",covid-19
2022-10-16 23:44:53+00:00,https://twitter.com/Fcdapamela22/status/1581793331935588353,Fcdapamela22,"A VACINA CONTRA A COVID COMEÇOU EM DEZEMBRO DE 2020 NOS ESTADOS UNIDOS E EM LONDRES E EM 17 JANEIRO DE 2021 A VACINA CONTRA A COVID-19 COMEÇOU DO BRASIL EM SÃO PAULO APÓS A APROVAÇÃO DA ANVISA
ESSA É A VERDADE QUE A ESQUERDA NÃO AGUENTA OUVIR...
#BolsonaroReeleito2️⃣2️⃣ 🇧🇷",covid-19
2022-10-16 23:38:26+00:00,https://twitter.com/HedibertL/status/1581791711478415360,HedibertL,@tatiroque How many hospitalizations has the COVID-19 vaccination already prevented in São Paulo?   https://t.co/MZCthyWDVs.,covid-19
2022-10-16 23:26:13+00:00,https://twitter.com/joaopaulodopt/status/1581788634520293376,joaopaulodopt,"""Os números estão na imprensa todos os dias. Você é o rei das fake news. Mentiu sobre a vacina. E hoje o Brasil carrega a pecha de ser o país com mais mortes pela pandemia. E você não se indignou para ir no enterro de um brasileiro que morreu de Covid-19""#DebateNaBand #LulaNaBand",covid-19
2022-10-16 23:26:04+00:00,https://twitter.com/ptsaopaulosp/status/1581788595446480896,ptsaopaulosp,A falta de pulso e de atitudes durante a pandemia tem consequências trágicas: uma geração de órfãos da covid-19. Quantas crianças Bolsonaro deixou sem família? #LulaNaBand #DebateNaBand,covid-19
2022-10-16 23:23:33+00:00,https://twitter.com/JoaoPauloJM/status/1581787964756983808,JoaoPauloJM,"O cara que queria encher os estádios de futebol falando que foi o carnaval que espalhou a COVID 19.
#DebateNaBand 
#LulaPresidente1️⃣3️⃣",covid-19
2022-10-16 23:20:00+00:00,https://twitter.com/sempre_manda/status/1581787071781343234,sempre_manda,"Lula: 'Quando São Paulo começou a dar vacina contra covid-19, 57 países já estavam vacinando. Você atrasou a vacina, Bolsonaro'.

#DebateNaBand #debateband #DebatePresidente #lulanaband #BolsonaroNaCadeia #bolsonaronaband",covid-19
2022-10-16 23:17:01+00:00,https://twitter.com/paulose18476735/status/1581786321655250944,paulose18476735,@Metropoles Sem esquecer 🦑 a natureza criou o vírus da COVID-19,covid-19
2022-10-16 23:13:26+00:00,https://twitter.com/folha/status/1581785419263639554,folha,"#Eleições2022 | Lula afirma que Bolsonaro fez apenas uma universidade em Tocantins, projeto iniciado por Dilma. Ele agora questiona o presidente a respeito da pandemia da Covid-19 e a demora para a compra de vacinas. 
https://t.co/FQtnj7M2DH",covid-19
2022-10-16 19:00:00+00:00,https://twitter.com/DWIH_SP/status/1581721639338663938,DWIH_SP,"Hoje comemoramos o Dia da Ciência e Tecnologia! Graças às descobertas científicas, conseguimos enfrentar a pandemia de COVID-19 e vários dos problemas mundiais. https://t.co/HnA5hA5tCI",covid-19
2022-10-16 17:46:29+00:00,https://twitter.com/johnnyjpmendes/status/1581703137328394240,johnnyjpmendes,"1´4 @STF_oficial @rodrigopacheco @NacoesUnidas @camaradeputados @PFDC_MPF @SenadoFederal Srs, é um consenso que a vacina foi fundamental para vencer a pandemia de Covid-19. Jair Bolsonaro atrasou a compra de vacinas que poderia ter salvado muitas vidas, empresas e empregos...+",covid-19
2022-10-16 17:43:39+00:00,https://twitter.com/johnnyjpmendes/status/1581702424317726720,johnnyjpmendes,"1_3 @STF_oficial @rodrigopacheco @NacoesUnidas @camaradeputados @PFDC_MPF @MPF_PGR @SenadoFederal Srs, precisa checar o caso de Jair Bolsonaro ter dito que a vacinação contra Covid-19 causa AIDS. Qual a procedência disso? As mentiras podem ser desastrosas. Tomem providências!",covid-19
2022-10-16 10:01:40+00:00,https://twitter.com/projeto7C0/status/1581586161918967810,projeto7C0,"Finalmente a cidade de São Paulo atingiu a marca de 100% de adolescentes com duas doses da vacina contra a Covid-19 💉

Foram 844.119 segundas doses aplicadas nos jovens de 12 a 17 anos🇧🇷🇧🇷🇧🇷...",covid-19
2022-10-16 08:21:54+00:00,https://twitter.com/Paulo_Stralie/status/1581561058363203584,Paulo_Stralie,Les incohérences du gouvernement (COVID -19) https://t.co/l8vzoLQWA5 via @YouTube,covid-19
2022-10-16 02:49:23+00:00,https://twitter.com/Juristas/status/1581477376030289927,Juristas,"A Justiça de São Paulo manteve a condenação de dois homens ao pagamento de danos morais coletivos e encargos legais cabíveis, pela organização de uma festa durante a pandemia de Covid-19.

Mais: https://t.co/iejafiOLNZ

#juristas #noticias #direito #justiça https://t.co/obw5Lv6S9x",covid-19
2022-10-16 02:02:41+00:00,https://twitter.com/paulom1991/status/1581465625003986944,paulom1991,"@danigiungiwald @feli3_141592 @VemPraRua_br Nos outros países não houveram tantas mortes quanto aqui, em termos percentuais. Temos mais de 10% de todas as mortes por COVID-19 de todo o mundo. O Donald Trump colheu o que plantou pela maneira que ele conduziu a pandemia da COVID-19 nos EUA.",covid-19
2022-10-16 01:50:10+00:00,https://twitter.com/pauloprensa/status/1581462471784611841,pauloprensa,Aclaran dudas respecto a la nueva vacuna bivalente contra el Covid-19. https://t.co/XxwF4A0zNT,covid-19
2022-10-16 01:05:30+00:00,https://twitter.com/PaixaoP7/status/1581451231070810112,PaixaoP7,COVID-19: Evolução no Estado de SP até 15/10/2022 https://t.co/UG3liTQaal #COVID19,covid-19
2022-10-15 23:29:09+00:00,https://twitter.com/LParrela/status/1581426986173759489,LParrela,@Haddad_Fernando Sabe quanto foi o investido em São Paulo nessa covid-19?,covid-19
